標題,筆記,網址,標籤,留言
元祖拉麵 長濱家,蛇丸,https://www.google.com/maps/place/%E5%85%83%E7%A5%96%E6%8B%89%E9%BA%B5+%E9%95%B7%E6%BF%B1%E5%AE%B6/data=!4m2!3m1!1s0x35419195285fb90b:0xb73e55b3559bab18,,
Kisekinotebasaki Sararimanyokochodaimyouten,蛇丸,https://www.google.com/maps/place/Kisekinotebasaki+Sararimanyokochodaimyouten/data=!4m2!3m1!1s0x354191869e1b1895:0xd8dc18632ecb9acf,,
Ganso Hakata Mentaiju Nishinakasu,蛇丸,https://www.google.com/maps/place/Ganso+Hakata+Mentaiju+Nishinakasu/data=!4m2!3m1!1s0x35419193dbe0b793:0xde0bd15c9081b8fc,,
10 COFFEE BREWERS 大名店,蛇丸,https://www.google.com/maps/place/10+COFFEE+BREWERS+%E5%A4%A7%E5%90%8D%E5%BA%97/data=!4m2!3m1!1s0x3541916ef6cef5ed:0xdda3cd6a5815350f,,
JACK IN THE DONUTS 福岡天神店,蛇丸,https://www.google.com/maps/place/JACK+IN+THE+DONUTS+%E7%A6%8F%E5%B2%A1%E5%A4%A9%E7%A5%9E%E5%BA%97/data=!4m2!3m1!1s0x3541910068b27c97:0x9783b8a1477dd65d,,
新宿焼肉 牛たんの檸檬大阪本店,黑木太太,https://www.google.com/maps/place/%E6%96%B0%E5%AE%BF%E7%84%BC%E8%82%89+%E7%89%9B%E3%81%9F%E3%82%93%E3%81%AE%E6%AA%B8%E6%AA%AC%E5%A4%A7%E9%98%AA%E6%9C%AC%E5%BA%97/data=!4m2!3m1!1s0x6000e794d34c011d:0x86caa4374bc449e8,,
稚加榮 福岡店,蛇丸,https://www.google.com/maps/place/%E7%A8%9A%E5%8A%A0%E6%A6%AE+%E7%A6%8F%E5%B2%A1%E5%BA%97/data=!4m2!3m1!1s0x3541918713dabcc7:0xc1e91a5c0e1cdb9e,,
娥嬤炖鰻 （原昌吉紅燒鰻）,Fred,https://www.google.com/maps/place/%E5%A8%A5%E5%AC%A4%E7%82%96%E9%B0%BB+%EF%BC%88%E5%8E%9F%E6%98%8C%E5%90%89%E7%B4%85%E7%87%92%E9%B0%BB%EF%BC%89/data=!4m2!3m1!1s0x3442a94710ed14b5:0xbbcc94aa5968e53a,,
圓環龍鳳滷肉飯,Fred,https://www.google.com/maps/place/%E5%9C%93%E7%92%B0%E9%BE%8D%E9%B3%B3%E6%BB%B7%E8%82%89%E9%A3%AF/data=!4m2!3m1!1s0x3442a88864f5679b:0xeb022c0ac28cd256,,
圓環龍鳳號,Fred,https://www.google.com/maps/place/%E5%9C%93%E7%92%B0%E9%BE%8D%E9%B3%B3%E8%99%9F/data=!4m2!3m1!1s0x3442a8c84eea6445:0x6677fe7a2791f4d7,,
龍凰號,Fred,https://www.google.com/maps/place/%E9%BE%8D%E5%87%B0%E8%99%9F/data=!4m2!3m1!1s0x3442a96b3562a21d:0xfa204556c2df00ce,,
三元號魯肉飯,Fred,https://www.google.com/maps/place/%E4%B8%89%E5%85%83%E8%99%9F%E9%AD%AF%E8%82%89%E9%A3%AF/data=!4m2!3m1!1s0x3442a96b53d1c9b5:0x6942d152898b5419,,
紅昌吉豬血湯,Fred,https://www.google.com/maps/place/%E7%B4%85%E6%98%8C%E5%90%89%E8%B1%AC%E8%A1%80%E6%B9%AF/data=!4m2!3m1!1s0x3442a9471c3a485d:0xb48de9febd757320,,
簡家大龍峒肉圓,Fred,https://www.google.com/maps/place/%E7%B0%A1%E5%AE%B6%E5%A4%A7%E9%BE%8D%E5%B3%92%E8%82%89%E5%9C%93/data=!4m2!3m1!1s0x3442a947dcd32999:0x14f72d848cf5ffc6,,
