標題,筆記,網址,標籤,留言
洄味牛肉麵崇德店,thread,https://www.google.com/maps/place/%E6%B4%84%E5%91%B3%E7%89%9B%E8%82%89%E9%BA%B5%E5%B4%87%E5%BE%B7%E5%BA%97/data=!4m2!3m1!1s0x34691778850044f1:0x14d8a2e2bdf02e00,,
合榭HOSIC精緻鐵板料理-忠孝店,thread,https://www.google.com/maps/place/%E5%90%88%E6%A6%ADHOSIC%E7%B2%BE%E7%B7%BB%E9%90%B5%E6%9D%BF%E6%96%99%E7%90%86-%E5%BF%A0%E5%AD%9D%E5%BA%97/data=!4m2!3m1!1s0x34693d17563e28d9:0xdbba881b71dabc5b,,
頭份｜燒肉政宗 YAKINIKU MASAMUNE,,https://www.google.com/maps/place/%E9%A0%AD%E4%BB%BD%EF%BD%9C%E7%87%92%E8%82%89%E6%94%BF%E5%AE%97+YAKINIKU+MASAMUNE/data=!4m2!3m1!1s0x34684d3cda751c6f:0xb51f0d7c3c91d417,,
下呂溫泉 懷石旅館 水鳳園,,https://www.google.com/maps/place/%E4%B8%8B%E5%91%82%E6%BA%AB%E6%B3%89+%E6%87%B7%E7%9F%B3%E6%97%85%E9%A4%A8+%E6%B0%B4%E9%B3%B3%E5%9C%92/data=!4m2!3m1!1s0x6002dbb5e6ff18bb:0xd3353d1087ca7ce5,,
海味-海鮮鍋燒海鮮粥,仲生推薦,https://www.google.com/maps/place/%E6%B5%B7%E5%91%B3-%E6%B5%B7%E9%AE%AE%E9%8D%8B%E7%87%92%E6%B5%B7%E9%AE%AE%E7%B2%A5/data=!4m2!3m1!1s0x346e0300a5c50587:0x93ef1d0d7b87a1d8,,
萬二小吃店,,https://www.google.com/maps/place/%E8%90%AC%E4%BA%8C%E5%B0%8F%E5%90%83%E5%BA%97/data=!4m2!3m1!1s0x346e03af7fa2d71d:0xb732399f0fd291f0,,
萬三小吃部,,https://www.google.com/maps/place/%E8%90%AC%E4%B8%89%E5%B0%8F%E5%90%83%E9%83%A8/data=!4m2!3m1!1s0x346e03a94ed6ee2d:0x80f4b9dcada40297,,
品芫麵食館,排骨炒飯,https://www.google.com/maps/place/%E5%93%81%E8%8A%AB%E9%BA%B5%E9%A3%9F%E9%A4%A8/data=!4m2!3m1!1s0x346835c469970ceb:0xa9ef7ba53467f1f0,,
Sushi Yuraku,,https://www.google.com/maps/place/Sushi+Yuraku/data=!4m2!3m1!1s0x34e569f875571127:0xb406f718f9d433ee,,
Naochan Ramen,,https://www.google.com/maps/place/Naochan+Ramen/data=!4m2!3m1!1s0x34e569f193058a99:0x5666138dd98def36,,
Kurumaebi Kitchen TAMAYA,,https://www.google.com/maps/place/Kurumaebi+Kitchen+TAMAYA/data=!4m2!3m1!1s0x34e4574895bc491f:0x733e31440ad76470,,
うるま市民食堂（うるマルシェ）,,https://www.google.com/maps/place/%E3%81%86%E3%82%8B%E3%81%BE%E5%B8%82%E6%B0%91%E9%A3%9F%E5%A0%82%EF%BC%88%E3%81%86%E3%82%8B%E3%83%9E%E3%83%AB%E3%82%B7%E3%82%A7%EF%BC%89/data=!4m2!3m1!1s0x34e50fd44679c851:0x2e60c3d6f5218ed7,,
林家乾麵,,https://www.google.com/maps/place/%E6%9E%97%E5%AE%B6%E4%B9%BE%E9%BA%B5/data=!4m2!3m1!1s0x3442a9a28000332b:0x511b4817fbd2276,,
三灣鵝肉(無接受訂位、公休日公告.粉專為主),,https://www.google.com/maps/place/%E4%B8%89%E7%81%A3%E9%B5%9D%E8%82%89(%E7%84%A1%E6%8E%A5%E5%8F%97%E8%A8%82%E4%BD%8D%E3%80%81%E5%85%AC%E4%BC%91%E6%97%A5%E5%85%AC%E5%91%8A.%E7%B2%89%E5%B0%88%E7%82%BA%E4%B8%BB)/data=!4m2!3m1!1s0x34684db1ea853c7f:0x8ee8ff16b6b8de0e,,
父山白俠粥品專賣店 竹北門市,,https://www.google.com/maps/place/%E7%88%B6%E5%B1%B1%E7%99%BD%E4%BF%A0%E7%B2%A5%E5%93%81%E5%B0%88%E8%B3%A3%E5%BA%97+%E7%AB%B9%E5%8C%97%E9%96%80%E5%B8%82/data=!4m2!3m1!1s0x346837a88cedbe9f:0x6ddc1bf18133bc96,,
ago義大利麵,,https://www.google.com/maps/place/ago%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5/data=!4m2!3m1!1s0x3468357b5f98cd41:0xf830dd095177f647,,
上允生魚片·丼飯·握壽司·關東煮外帶專門（南寮店）,ig，平日，外帶,https://www.google.com/maps/place/%E4%B8%8A%E5%85%81%E7%94%9F%E9%AD%9A%E7%89%87%C2%B7%E4%B8%BC%E9%A3%AF%C2%B7%E6%8F%A1%E5%A3%BD%E5%8F%B8%C2%B7%E9%97%9C%E6%9D%B1%E7%85%AE%E5%A4%96%E5%B8%B6%E5%B0%88%E9%96%80%EF%BC%88%E5%8D%97%E5%AF%AE%E5%BA%97%EF%BC%89/data=!4m2!3m1!1s0x346835037f9d2411:0x90fcc91a16a7ad6d,,
新予小館 GIVE,鴨胸、肋排、魚排,https://www.google.com/maps/place/%E6%96%B0%E4%BA%88%E5%B0%8F%E9%A4%A8+GIVE/data=!4m2!3m1!1s0x3468370510db5a55:0x9b62a0c3e05caa2d,,
Coffee&Egg 竹北分舖,,https://www.google.com/maps/place/Coffee%26Egg+%E7%AB%B9%E5%8C%97%E5%88%86%E8%88%96/data=!4m2!3m1!1s0x3468377f2c317ae1:0x37eb2195fdd3a7d8,,
三六食府(原36美食),黃仁勳 椒麻拌麵,https://www.google.com/maps/place/%E4%B8%89%E5%85%AD%E9%A3%9F%E5%BA%9C(%E5%8E%9F36%E7%BE%8E%E9%A3%9F)/data=!4m2!3m1!1s0x3442abdc4d95636d:0xe8a78f5ffeec5ee8,,
肉屋 ししや,,https://www.google.com/maps/place/%E8%82%89%E5%B1%8B+%E3%81%97%E3%81%97%E3%82%84/data=!4m2!3m1!1s0x34e5697a716e84b1:0x10883597ca4b1cb7,,
牛耳精緻麵館,黃仁勳吃過,https://www.google.com/maps/place/%E7%89%9B%E8%80%B3%E7%B2%BE%E7%B7%BB%E9%BA%B5%E9%A4%A8/data=!4m2!3m1!1s0x3442ac6ed1ee09a1:0xb74bbe9d296cafa4,,
燒肉吉室,,https://www.google.com/maps/place/%E7%87%92%E8%82%89%E5%90%89%E5%AE%A4/data=!4m2!3m1!1s0x3467e5c87aa54669:0x29a90919b7584451,,
川炁 飯麵館(每月公休請看粉專),菁菁,https://www.google.com/maps/place/%E5%B7%9D%E7%82%81+%E9%A3%AF%E9%BA%B5%E9%A4%A8(%E6%AF%8F%E6%9C%88%E5%85%AC%E4%BC%91%E8%AB%8B%E7%9C%8B%E7%B2%89%E5%B0%88)/data=!4m2!3m1!1s0x34683735701d3175:0x6b62143ae0691a2a,,
Gyutan no Lemon,牛舌,https://www.google.com/maps/place/Gyutan+no+Lemon/data=!4m2!3m1!1s0x60188f002ad0ce1b:0x39927de3d98ec013,,
夯臭豆腐 南寮連鎖店,,https://www.google.com/maps/place/%E5%A4%AF%E8%87%AD%E8%B1%86%E8%85%90+%E5%8D%97%E5%AF%AE%E9%80%A3%E9%8E%96%E5%BA%97/data=!4m2!3m1!1s0x346835a84d4c7db5:0x18515ca501384fb7,,
陳記台南碗粿,,https://www.google.com/maps/place/%E9%99%B3%E8%A8%98%E5%8F%B0%E5%8D%97%E7%A2%97%E7%B2%BF/data=!4m2!3m1!1s0x3469b33c882811eb:0x1bef8e87def3797c,,
