店名,地址,網址,餐飲類型,來源清單,是否曾去過,距離住家(公里),人均消費預估(元),備註
Ryukyusushi Tsukijiaozorasandaime Makishishitamachiyataimura,"日本〒900-0013 Okinawa, Naha, Makishi, 3 Chome−2−48-4 下町屋台村",https://www.google.com/maps/place/Ryukyusushi+Tsukijiaozorasandaime+Makishishitamachiyataimura/data=!4m2!3m1!1s0x34e5690014c62069:0x1216b11b9cbd52a0,其他,YTer,是,691.52,150,館長
牧志下町屋台村,"日本〒900-0013 Okinawa, Naha, Makishi, 3 Chome−2−48 4号",https://www.google.com/maps/place/%E7%89%A7%E5%BF%97%E4%B8%8B%E7%94%BA%E5%B1%8B%E5%8F%B0%E6%9D%91/data=!4m2!3m1!1s0x34e5699d261e67d9:0xbb3a59536b299581,其他,YTer,是,691.5,150,館長 11號青空三代目
天久琉貿樂市,"日本〒900-0005 Okinawa, Naha, Ameku, 1 Chome−2−1 りうぼう楽市店内 １階",https://www.google.com/maps/place/%E5%A4%A9%E4%B9%85%E7%90%89%E8%B2%BF%E6%A8%82%E5%B8%82/data=!4m2!3m1!1s0x34e56bd0dab11e8d:0x6d3bff0ebc417127,其他,YTer,是,691.96,150,館長
Sports Depo Ameku,"1 Chome-2-1 Ameku, Naha, Okinawa 900-0005日本",https://www.google.com/maps/place/Sports+Depo+Ameku/data=!4m2!3m1!1s0x34e56bd1272f5da3:0xc2cf61dc3d9a4c49,其他,YTer,是,691.94,150,館長
まぐろ屋みーかがん 道の駅いとまん店,"4 Chome-19-1 Nishizakicho, Itoman, Okinawa 901-0306日本",https://www.google.com/maps/place/%E3%81%BE%E3%81%90%E3%82%8D%E5%B1%8B%E3%81%BF%E3%83%BC%E3%81%8B%E3%81%8C%E3%82%93+%E9%81%93%E3%81%AE%E9%A7%85%E3%81%84%E3%81%A8%E3%81%BE%E3%82%93%E5%BA%97/data=!4m2!3m1!1s0x34e567ef6e492943:0x3bb19ce8a46b64e2,其他,YTer,是,687.14,150,館長
希ラーメン拉麵,813台灣高雄市左營區廟東里蓮潭路121號,https://www.google.com/maps/place/%E5%B8%8C%E3%83%A9%E3%83%BC%E3%83%A1%E3%83%B3%E6%8B%89%E9%BA%B5/data=!4m2!3m1!1s0x346e059e682c6089:0x51b20dab3021bda5,日式,YTer,是,246.74,250,蛇丸
余足古早味豆花,813台灣高雄市左營區西陵街140號,https://www.google.com/maps/place/%E4%BD%99%E8%B6%B3%E5%8F%A4%E6%97%A9%E5%91%B3%E8%B1%86%E8%8A%B1/data=!4m2!3m1!1s0x346e059c0574df29:0x39d4e0676acf0cf5,其他,YTer,是,246.56,150,蛇丸
老牌牛乳大王,813台灣高雄市左營區頂西里左營大路332號,https://www.google.com/maps/place/%E8%80%81%E7%89%8C%E7%89%9B%E4%B9%B3%E5%A4%A7%E7%8E%8B/data=!4m2!3m1!1s0x346e059eb6a0f4c7:0x28c429445c827e8,其他,YTer,是,246.74,150,蛇丸
今年貴焿左營大路店,813台灣高雄市左營區埤西里左營大路63號,https://www.google.com/maps/place/%E4%BB%8A%E5%B9%B4%E8%B2%B4%E7%84%BF%E5%B7%A6%E7%87%9F%E5%A4%A7%E8%B7%AF%E5%BA%97/data=!4m2!3m1!1s0x346e05a2e6679a3d:0xcb9acce8253148be,其他,YTer,是,247.38,150,蛇丸
三牛牛肉麵,813台灣高雄市左營區埤東里勝利路85號,https://www.google.com/maps/place/%E4%B8%89%E7%89%9B%E7%89%9B%E8%82%89%E9%BA%B5/data=!4m2!3m1!1s0x346e05a140bf1e6b:0x22fbf7e032da9bc1,中式,YTer,是,247.62,120,蛇丸
