標題,筆記,網址,標籤,留言
饗厚牛排-桃園店,自助吧cp,https://www.google.com/maps/place/%E9%A5%97%E5%8E%9A%E7%89%9B%E6%8E%92-%E6%A1%83%E5%9C%92%E5%BA%97/data=!4m2!3m1!1s0x34681f89123fa4d5:0x9dae3acc5ec64b4,,
全家便利商店-板橋宜居店,Om,https://www.google.com/maps/place/%E5%85%A8%E5%AE%B6%E4%BE%BF%E5%88%A9%E5%95%86%E5%BA%97-%E6%9D%BF%E6%A9%8B%E5%AE%9C%E5%B1%85%E5%BA%97/data=!4m2!3m1!1s0x346803c837b28261:0x9f8b8badf1f237c6,,
大眾小館,,https://www.google.com/maps/place/%E5%A4%A7%E7%9C%BE%E5%B0%8F%E9%A4%A8/data=!4m2!3m1!1s0x346835c2ab2eaa47:0x7f0192d8c2235aa2,,
福砌阿華什錦麵,,https://www.google.com/maps/place/%E7%A6%8F%E7%A0%8C%E9%98%BF%E8%8F%AF%E4%BB%80%E9%8C%A6%E9%BA%B5/data=!4m2!3m1!1s0x346835d05bb7b6ad:0xac90526e110d8605,,
傻瓜麵創意料理,,https://www.google.com/maps/place/%E5%82%BB%E7%93%9C%E9%BA%B5%E5%89%B5%E6%84%8F%E6%96%99%E7%90%86/data=!4m2!3m1!1s0x346835ce0efbf5ef:0x14dc96e69fcb0913,,
現炸脆皮肉圓,,https://www.google.com/maps/place/%E7%8F%BE%E7%82%B8%E8%84%86%E7%9A%AE%E8%82%89%E5%9C%93/data=!4m2!3m1!1s0x3468226678450bad:0xa8ba31c48491a90d,,
鬍鬚李小吃店,,https://www.google.com/maps/place/%E9%AC%8D%E9%AC%9A%E6%9D%8E%E5%B0%8F%E5%90%83%E5%BA%97/data=!4m2!3m1!1s0x346835bfad60d10d:0x5188fb90d2e5d91,,
馥億餐坊-新竹市,,https://www.google.com/maps/place/%E9%A6%A5%E5%84%84%E9%A4%90%E5%9D%8A-%E6%96%B0%E7%AB%B9%E5%B8%82/data=!4m2!3m1!1s0x346835c371cbef0b:0xa3e090ffca7d090a,,
吳生ごさん鍋処小料理請訊息預約·僅接受FB、IG訊息預約,,https://www.google.com/maps/place/%E5%90%B3%E7%94%9F%E3%81%94%E3%81%95%E3%82%93%E9%8D%8B%E5%87%A6%E5%B0%8F%E6%96%99%E7%90%86%E8%AB%8B%E8%A8%8A%E6%81%AF%E9%A0%90%E7%B4%84%C2%B7%E5%83%85%E6%8E%A5%E5%8F%97FB%E3%80%81IG%E8%A8%8A%E6%81%AF%E9%A0%90%E7%B4%84/data=!4m2!3m1!1s0x346835d123092ff3:0x3782f0506d341ecc,,
景冬香雲緬小吃-巨城擺夷料理(不接受訂位),,https://www.google.com/maps/place/%E6%99%AF%E5%86%AC%E9%A6%99%E9%9B%B2%E7%B7%AC%E5%B0%8F%E5%90%83-%E5%B7%A8%E5%9F%8E%E6%93%BA%E5%A4%B7%E6%96%99%E7%90%86(%E4%B8%8D%E6%8E%A5%E5%8F%97%E8%A8%82%E4%BD%8D)/data=!4m2!3m1!1s0x346835c9318aba3f:0x2c29ee9020525373,,
新竹南寮漁港,蝦媽的店，海沙蝦普通尺寸,https://www.google.com/maps/place/%E6%96%B0%E7%AB%B9%E5%8D%97%E5%AF%AE%E6%BC%81%E6%B8%AF/data=!4m2!3m1!1s0x346834eec86dafa3:0xea221d3a6fe91878,,
長興釣蝦場,,https://www.google.com/maps/place/%E9%95%B7%E8%88%88%E9%87%A3%E8%9D%A6%E5%A0%B4/data=!4m2!3m1!1s0x34684b2fbf4921c3:0xd33156ccffda7b11,,
三億小吃店,,https://www.google.com/maps/place/%E4%B8%89%E5%84%84%E5%B0%8F%E5%90%83%E5%BA%97/data=!4m2!3m1!1s0x346835954d1390f7:0x5c76abf6ed241ab0,,
東門文昌雞飯(僅供外帶),,https://www.google.com/maps/place/%E6%9D%B1%E9%96%80%E6%96%87%E6%98%8C%E9%9B%9E%E9%A3%AF(%E5%83%85%E4%BE%9B%E5%A4%96%E5%B8%B6)/data=!4m2!3m1!1s0x346835c18dba90a9:0x795d9afc9629d6e9,,
龍來小館,,https://www.google.com/maps/place/%E9%BE%8D%E4%BE%86%E5%B0%8F%E9%A4%A8/data=!4m2!3m1!1s0x34684d5463b1babd:0x83e3d0d28d1cbbc4,,
阿水飯店,,https://www.google.com/maps/place/%E9%98%BF%E6%B0%B4%E9%A3%AF%E5%BA%97/data=!4m2!3m1!1s0x3469ae63ef4eb69f:0xd3956a9eb629dead,,
薪石窯柴燒窯烤麵包,,https://www.google.com/maps/place/%E8%96%AA%E7%9F%B3%E7%AA%AF%E6%9F%B4%E7%87%92%E7%AA%AF%E7%83%A4%E9%BA%B5%E5%8C%85/data=!4m2!3m1!1s0x34683642fc759b2d:0x20707815aac790dd,,
CURRY WU日式熟成濃咖哩專賣店,,https://www.google.com/maps/place/CURRY+WU%E6%97%A5%E5%BC%8F%E7%86%9F%E6%88%90%E6%BF%83%E5%92%96%E5%93%A9%E5%B0%88%E8%B3%A3%E5%BA%97/data=!4m2!3m1!1s0x346835c08818832b:0xa5fb10d1409335b,,
延平大飯店,,https://www.google.com/maps/place/%E5%BB%B6%E5%B9%B3%E5%A4%A7%E9%A3%AF%E5%BA%97/data=!4m2!3m1!1s0x346835978cc04335:0x3f02af28e58b07ef,,
玩點名,,https://www.google.com/maps/place/%E7%8E%A9%E9%BB%9E%E5%90%8D/data=!4m2!3m1!1s0x346835059406cd9f:0xbe6cc81fa9d7c2ed,,
吾點拌食（原欣園早點）-新竹美食-早餐-豆漿-蛋餅-蔥抓餅,,https://www.google.com/maps/place/%E5%90%BE%E9%BB%9E%E6%8B%8C%E9%A3%9F%EF%BC%88%E5%8E%9F%E6%AC%A3%E5%9C%92%E6%97%A9%E9%BB%9E%EF%BC%89-%E6%96%B0%E7%AB%B9%E7%BE%8E%E9%A3%9F-%E6%97%A9%E9%A4%90-%E8%B1%86%E6%BC%BF-%E8%9B%8B%E9%A4%85-%E8%94%A5%E6%8A%93%E9%A4%85/data=!4m2!3m1!1s0x3468359ee5ddf543:0x5dbeafbf1ea2ef55,,
小熊媽媽DIY,,https://www.google.com/maps/place/%E5%B0%8F%E7%86%8A%E5%AA%BD%E5%AA%BDDIY/data=!4m2!3m1!1s0x3442a912f207e4ab:0x2f4044544bdfe32e,,
橙家餐廳,,https://www.google.com/maps/place/%E6%A9%99%E5%AE%B6%E9%A4%90%E5%BB%B3/data=!4m2!3m1!1s0x346836ebd5ff745b:0x61a7d77a87187147,,
公園黑乾麵,,https://www.google.com/maps/place/%E5%85%AC%E5%9C%92%E9%BB%91%E4%B9%BE%E9%BA%B5/data=!4m2!3m1!1s0x346835ddca1e71fb:0xc2ae6fcecb44d062,,
京座燒肉 新竹店,,https://www.google.com/maps/place/%E4%BA%AC%E5%BA%A7%E7%87%92%E8%82%89+%E6%96%B0%E7%AB%B9%E5%BA%97/data=!4m2!3m1!1s0x3468355be590cd1d:0x68911f14f30a43d7,,
蔣好的味道 台越特色小館,,https://www.google.com/maps/place/%E8%94%A3%E5%A5%BD%E7%9A%84%E5%91%B3%E9%81%93+%E5%8F%B0%E8%B6%8A%E7%89%B9%E8%89%B2%E5%B0%8F%E9%A4%A8/data=!4m2!3m1!1s0x346835fb5382d56d:0x4c3e2aa90a1f62e4,,
新竹利利號 肉鬆/肉乾,,https://www.google.com/maps/place/%E6%96%B0%E7%AB%B9%E5%88%A9%E5%88%A9%E8%99%9F+%E8%82%89%E9%AC%86%2F%E8%82%89%E4%B9%BE/data=!4m2!3m1!1s0x346835c178ef976b:0x1d80d39d4e7f3c1d,,
禾日香古早味魯肉飯,,https://www.google.com/maps/place/%E7%A6%BE%E6%97%A5%E9%A6%99%E5%8F%A4%E6%97%A9%E5%91%B3%E9%AD%AF%E8%82%89%E9%A3%AF/data=!4m2!3m1!1s0x346835c7549f9ffd:0x7f40116d2a44784f,,
安利麵線,,https://www.google.com/maps/place/%E5%AE%89%E5%88%A9%E9%BA%B5%E7%B7%9A/data=!4m2!3m1!1s0x346835d0ae30c5cf:0x6479b21467349518,,
雞腳王滷味,,https://www.google.com/maps/place/%E9%9B%9E%E8%85%B3%E7%8E%8B%E6%BB%B7%E5%91%B3/data=!4m2!3m1!1s0x346835cea7b351f5:0x235a814ddd7afc22,,
阿明滷肉飯,,https://www.google.com/maps/place/%E9%98%BF%E6%98%8E%E6%BB%B7%E8%82%89%E9%A3%AF/data=!4m2!3m1!1s0x346835ce9ee718c3:0xba244872de87330f,,
蚵仔麵線、甜不辣,,https://www.google.com/maps/place/%E8%9A%B5%E4%BB%94%E9%BA%B5%E7%B7%9A%E3%80%81%E7%94%9C%E4%B8%8D%E8%BE%A3/data=!4m2!3m1!1s0x346835ce9a245a65:0x18b76e80c58e26ed,,
曾記餡餅,,https://www.google.com/maps/place/%E6%9B%BE%E8%A8%98%E9%A4%A1%E9%A4%85/data=!4m2!3m1!1s0x346835c8ffffffff:0xc9d5b14f69126067,,
